"""Identificador URL""";"Nome";"Categorias";"Nome da varia��o 1";"Valor da varia��o 1";"Nome da varia��o 2";"Valor da varia��o 2";"Nome da varia��o 3";"Valor da varia��o 3";"Pre�o";"Pre�o promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque";"SKU";"C�digo de barras";"Exibir na loja";"Frete gratis";"Descri��o";"Tags";"T�tulo para SEO";"Descri��o para SEO";"Marca";"Produto F�sico";"MPN (C�d. Exclusivo, Modelo Fabricante)";"Sexo";"Faixa et�ria";"Custo";"URL image"
"truss-vegan-detox-shampoo-300ml";"Truss Vegan Detox - Shampoo 300ml";;;;;;;;"109.00";;"0.30";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-vegan-detox-shampoo-300ml/1-captura-de-tela-2023-09-23-as-16-52-241-0c24678fb1227e2a3716954989303641-1024-1024.webp"
"cadiveu-blonde-reconstructor-blonde-lock-leave-in-com-filtro-solar-200ml";"Cadiveu Blonde Reconstructor Blonde Lock - Leave-in com Filtro Solar 200ml";;;;;;;;"149.00";;"0.20";"0.00";"0.00";"0.00";"0";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/cadiveu-blonde-reconstructor-blonde-lock-leave-in-com-filtro-solar-200ml/1-captura-de-tela-2023-09-23-as-16-39-061-4632659f093c994fd216954980372075-1024-1024.webp"
"kerastase-genesis-bain-hydra-fortifiant-shampoo-250ml";"K�rastase Genesis Bain-Hydra Fortifiant - Shampoo 250ml";;;;;;;;"249.00";;"0.25";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/kerastase-genesis-bain-hydra-fortifiant-shampoo-250ml/1-captura-de-tela-2023-09-23-as-11-26-211-76796dc145dec6475c16954792762052-1024-1024.webp"
"kerastase-blond-absolu-bain-ultra-violet-shampoo-desamarelador-250ml";"K�rastase Blond Absolu Bain Ultra-Violet - Shampoo Desamarelador 250ml";;;;;;;;"239.00";;"0.25";"0.00";"0.00";"0.00";"0";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/kerastase-blond-absolu-bain-ultra-violet-shampoo-desamarelador-250ml/1-captura-de-tela-2023-09-23-as-11-21-121-ff10d4a9080fae8dca16954790999750-1024-1024.webp"
"redken-extreme-mascara-capilar-250ml";"Redken Extreme - M�scara Capilar 250ml";;;;;;;;"209.00";;"0.25";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/redken-extreme-mascara-capilar-250ml/1-captura-de-tela-2023-09-21-as-12-05-241-75747b7a2adb474d9716953088518917-1024-1024.webp"
"kerastase-resistance-ciment-anti-usure-condicionador-200ml";"K�rastase R�sistance Ciment Anti-Usure - Condicionador 200ml";;;;;;;;"249.00";;"0.20";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/kerastase-resistance-ciment-anti-usure-condicionador-200ml/1-captura-de-tela-2023-09-21-as-10-57-311-acb6ac6136c590cc2816953050214746-1024-1024.webp"
"loreal-professionnel-serie-expert-curl-expression-antirresiduos-shampoo-300ml";"L'Or�al Professionnel Serie Expert Curl Expression Antirres�duos - Shampoo 300ml";;;;;;;;"149.00";;"0.30";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/loreal-professionnel-serie-expert-curl-expression-antirresiduos-shampoo-300ml/1-captura-de-tela-2023-09-20-as-16-23-591-3faa084d8f5a22f3e116952380344833-1024-1024.webp"
"kerastase-nutritive-masquitense-cabelos-finos-mascara-capilar-200ml";"K�rastase Nutritive Masquitense Cabelos Finos - M�scara Capilar 200ml";;;;;;;;"339.00";;"0.20";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/kerastase-nutritive-masquitense-cabelos-finos-mascara-capilar-200ml/1-captura-de-tela-2023-09-20-as-16-07-191-47071c7d25b2bac5f216952369954887-1024-1024.webp"
"truss-miracle-mascara-capilar-180g";"Truss Miracle - M�scara Capilar 180g";;;;;;;;"145.00";;"0.18";"0.00";"0.00";"0.00";"1";"T06";;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-miracle-mascara-capilar-180g/1-captura-de-tela-2023-09-12-as-11-37-271-7d94cbf53e0b0e3c0316945436080323-1024-1024.webp"
"truss-miracle-condicionador-300ml";"Truss Miracle - Condicionador 300ml";;;;;;;;"102.00";;"0.30";"0.00";"0.00";"0.00";"0";"T06";;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-miracle-condicionador-300ml/1-captura-de-tela-2023-09-06-as-16-40-581-a937e3c6a03284c1cd16940300628316-1024-1024.webp"
